[MCMC_objectives]
report.type: MCMC_objectives
Original covariance matrix:
1.16837e-09 -2.13186 8.24457e-06 6.38904e-06
-2.13186 4.28776e+09 -12428.3 -11631.5
8.24457e-06 -12428.3 0.131091 0.0662034
6.38904e-06 -11631.5 0.0662034 0.0890384
Proposal distribution covariance matrix:
1e-10 -0.589329 2.412e-06 1.86915e-06
-0.623688 4.28776e+09 -12428.3 -11631.5
2.412e-06 -12428.3 0.131091 0.0662034
1.86915e-06 -11631.5 0.0662034 0.0890384
Cholesky decomposition matrix:
1e-05 0 0 0
-62368.9 19947.2 0 0
0.2412 0.131102 0.236063 0
0.186915 0.00131524 0.0887348 0.215001
MCMC objective function values:
iteration score penalty prior likelihood acceptance_rate acceptance_rate_since_adapt stepsize
1000 280.05 0 0 281.107 0.221 0.221 1.2
2000 282.728 0 0 286.317 0.1875 0.1875 1.2
3000 281.29 0 0 283.832 0.210333 0.210333 1.2
4000 282.44 0 0 285.038 0.21675 0.21675 1.2
5000 279.71 0 0 280.077 0.2132 0.2132 1.2
6000 281.712 0 0 294.35 0.207833 0.207833 1.2
7000 280.897 0 0 282.199 0.195857 0.195857 1.2
8000 279.576 0 0 288.027 0.1865 0.1865 1.2
9000 279.814 0 0 282.677 0.177778 0.177778 1.2
10000 281.65 2.88537e+10 0 610.342 0.1757 0.1757 1.2
11000 281.339 0 0 281.339 0.195455 0.393 0.5271
12000 280.041 0 0 280.041 0.208167 0.3705 0.5271
13000 283.752 0 0 290.783 0.211923 0.332667 0.5271
14000 280.965 0 0 288.277 0.2175 0.322 0.5271
15000 282.722 0 0 282.722 0.221333 0.3126 0.5271
16000 280.051 0 0 294.178 0.223625 0.3035 0.5271
17000 281.447 0 0 281.447 0.228294 0.303429 0.5271
18000 280.165 0 0 282.178 0.232389 0.30325 0.5271
19000 281.258 0 0 282.261 0.243211 0.318222 0.5271
20000 280.975 0 0 282.909 0.2542 0.3327 0.5271
21000 281.491 0 0 284.202 0.267619 0.536 0.438415
22000 282.613 0 0 345.87 0.280818 0.547 0.438415
