[MCMC_samples]
report.type: MCMC_samples
mcmc_samples:
catchability[CPUEq].q process[BHrecruitment].r0 selectivity[FishingSel].a50 selectivity[FishingSel].ato95
0.000100531 434007 8.34426 3.2529
0.000108968 403519 8.7995 2.74418
9.98288e-05 436700 9.10483 4.15995
6.37296e-05 604734 8.65901 3.95744
0.000107739 400748 8.27487 2.98676
0.000160515 332358 9.11078 3.18015
0.000173436 295449 8.46864 3.16456
0.000156802 313453 8.9138 3.61365
0.000169623 292013 8.75972 3.53107
0.000158889 292460 9.09729 3.39829
6.78347e-05 638906 8.50969 3.22501
0.000168353 296841 8.85391 3.73638
0.000200505 305357 9.59352 4.1435
0.000176682 273480 8.83011 3.91267
0.000224993 235375 8.84749 3.32529
0.000177318 282287 8.90575 3.66699
0.000155865 280934 8.3918 3.62181
0.000146051 326011 9.0615 4.01307
0.000113168 381267 8.1754 3.5003
0.000133244 314186 8.67348 3.38985
6.70823e-05 618293 8.13345 2.77247
0.000120442 336062 7.57226 2.41141
0.000156076 339990 8.86321 3.24035
0.000132613 343059 8.72492 3.54409
0.000107727 400416 7.72724 3.16325
7.11309e-05 484318 8.02447 2.67353
0.000106182 377968 8.24505 2.76983
7.85978e-05 505410 8.66723 3.20485
0.000139335 312555 8.86808 3.59923
0.000169928 291958 8.48618 2.87915
0.000179978 270461 8.94831 3.35236
0.000105854 397436 8.76959 3.69039
9.43561e-05 497257 8.86681 2.993
6.59929e-05 659081 8.15383 3.42655
0.000102842 416124 8.47148 3.04296
0.000152292 353642 9.28536 4.17596
0.000180455 293723 9.06797 3.35401
0.000215573 269594 9.59298 4.00298
0.000236323 244578 9.47556 3.88864
0.000188083 270202 8.22707 2.96399
0.000158113 303184 8.76852 3.73511
8.41306e-05 444067 7.95724 2.64173
0.000103379 454869 9.09166 3.36633
0.000141113 315504 7.80184 2.31764
0.000136851 350777 8.94163 3.63482
9.47713e-05 473401 9.10767 3.53291
4.34994e-05 834301 8.09467 3.20607
0.000146516 322360 9.10465 3.6436
0.000157272 333699 8.91816 3.42403
0.000189515 269861 8.40739 3.56832
0.000193295 280170 9.40716 3.53854
0.00022344 232228 8.26514 2.44073
0.00022927 253248 8.84259 3.17901
0.000198228 292472 10.1775 4.49822
0.000189046 278646 9.13637 3.24092
0.000152061 345287 9.09705 3.92979
0.000155712 294407 8.70621 3.60513
0.000150979 304388 8.49711 2.80915
6.43011e-05 638129 8.42593 3.15443
0.000107445 389428 8.45175 2.94849
0.000160267 279628 8.08247 2.95714
0.000141299 327297 9.00102 3.83359
0.000113033 401358 9.04274 4.01283
4.01795e-05 890908 7.92853 2.7708
0.000126112 373124 9.37932 3.54106
6.46698e-05 570942 7.68816 2.40657
0.000108025 385251 8.29538 2.71504
0.000132277 361938 8.64943 3.62084
