[MCMC_samples]
report.type: MCMC_samples
mcmc_samples:
catchability[CPUEq].q process[BHrecruitment].r0 selectivity[FishingSel].a50 selectivity[FishingSel].ato95
0.00013926 329011 8.08642 2.96803
0.000105802 409832 8.85872 3.3618
0.000119456 399629 8.37101 3.009
9.72742e-05 412301 8.38768 3.17314
0.000108057 391812 8.62364 3.95925
9.23153e-05 388378 8.11587 3.05208
0.000123594 383777 8.27737 2.90303
0.000115354 356928 7.55111 2.58972
0.000116318 361000 7.97974 2.51317
0.000136026 345888 8.29145 2.71432
0.000150351 284263 8.14478 2.73519
0.000167779 313922 9.33223 4.02226
0.000161851 298951 8.94183 3.22659
0.000183256 293063 8.96713 2.88936
0.000164552 311969 8.82567 3.19025
0.000129892 342229 8.84484 3.53346
0.000175165 274044 8.41482 3.19535
0.000161989 287688 8.87304 3.80205
0.000185216 273050 8.82327 2.85423
0.00017982 282541 9.19946 3.44994
0.00017744 279387 8.809 4.21114
0.000169124 265523 8.77714 3.5092
0.000142766 319275 8.5277 3.6615
0.000118547 358969 8.50007 3.17616
0.00012799 364741 8.79927 3.12575
0.000137536 347485 9.18425 4.02236
0.000157996 312258 9.15455 3.67454
0.000141082 316667 9.12896 4.19975
0.000151902 315265 8.69853 4.02527
0.00013304 310983 8.17404 2.97028
0.000162007 304204 8.60755 3.41801
0.000142365 329523 8.49561 3.02529
0.000163157 317496 8.48497 3.44997
0.000144534 323066 8.87551 4.07186
0.000145359 320617 9.07896 4.53789
0.000190198 276424 8.68574 3.44552
0.000164213 303935 8.57164 3.32197
0.000176543 309684 9.23284 4.22854
0.000139053 323054 8.69999 4.17242
0.000147567 351363 9.38013 4.30764
0.000130374 366378 9.32116 4.3763
0.000145057 306386 8.48131 3.27615
0.000193428 263305 8.40332 3.0943
0.00016218 288581 8.83883 3.69579
0.00016703 252828 7.98419 3.27674
0.000177766 319226 9.02488 3.5791
0.000191755 273348 8.94955 3.7554
0.000168615 300958 9.81627 5.15606
0.000175746 273242 9.31356 4.79245
0.000193169 294796 9.5932 4.43721
0.00017718 292058 9.06133 4.10985
0.000158739 267258 8.21777 3.17619
0.000152612 320606 8.65804 3.37706
0.000129205 378052 9.41853 4.4383
0.000133282 342425 8.70391 2.73059
0.000155982 298325 8.89587 3.45598
0.000146801 335123 8.92132 3.5715
0.000126191 346703 8.77416 3.24734
0.000135727 341545 8.80042 3.66405
0.000131619 364746 8.71977 3.03374
0.000149534 306738 8.48454 3.29422
0.000161294 290285 7.90998 2.77402
0.000158466 298838 8.36244 3.09308
0.000194346 273680 8.87299 3.66873
0.000152064 333670 9.5819 4.4736
0.000152916 307321 9.41984 3.97462
0.000175098 292480 8.49978 2.94209
0.00014066 308127 8.0494 2.78495
0.000129496 318222 8.05428 3.01946
0.000137799 328860 8.51715 3.63119
0.000120625 349287 8.27549 2.8449
0.000124133 385929 8.58052 2.86992
0.00011901 360579 8.23413 3.09077
0.000121908 379502 8.49025 3.57202
0.000116524 349892 7.97782 2.9012
0.000146227 313795 7.88446 2.97512
0.000119336 353786 8.59393 3.24013
0.000138038 338204 8.74122 3.41677
0.000120959 338344 8.38318 2.2444
0.000155969 289254 8.13916 2.75334
0.000168102 278114 8.57986 3.55083
0.000154852 302607 8.60086 3.85003
0.000133531 352450 9.18118 4.25902
0.000129962 358800 8.80997 3.2626
0.000147367 330647 8.61257 2.8864
0.000121911 382984 9.32392 3.59129
0.000112676 366698 8.60343 3.2325
0.000116929 414315 8.70382 3.59967
0.000115413 413421 9.05035 3.76618
0.000122019 358349 8.34819 3.19951
0.000100557 386184 8.06679 2.38923
0.000117533 385377 8.2504 3.40152
0.000114162 366342 8.64982 3.61913
0.000149004 302435 8.83239 4.99375
0.000145365 351827 9.8502 4.95086
0.000129289 353393 8.99829 3.92503
0.000150095 324067 8.79347 3.56536
0.000158279 316660 8.80711 3.2729
0.000205686 276298 9.00078 3.70968
0.000231594 261428 9.87928 4.2844
0.00017321 276839 8.82625 3.44216
0.000183518 262830 8.57641 3.26149
0.00017673 298532 8.9215 3.46415
0.000153469 294039 8.31221 2.63147
0.000145508 314612 8.51573 3.22335
0.000114994 406163 8.47837 3.20119
0.000106289 392285 8.26545 2.87868
0.000103392 402620 8.14362 2.87385
0.000105004 387976 7.67878 2.49601
0.000104707 418446 8.58164 3.19908
0.000104815 385717 8.14722 2.94152
0.000117752 388015 8.49566 2.9502
9.77997e-05 391573 7.81793 3.21593
0.000102747 380117 7.76821 3.05546
8.59226e-05 444961 7.86825 3.11089
8.43375e-05 445375 7.90956 3.04401
8.39152e-05 450358 8.28319 2.94476
8.93662e-05 489976 9.15437 3.70013
8.75272e-05 478680 8.96905 3.91632
9.1897e-05 442392 8.31441 3.63665
9.29292e-05 436309 8.39566 3.82907
9.29292e-05 441363 7.90958 3.32617
9.59401e-05 455352 7.87931 2.98741
8.75812e-05 470780 8.00796 2.65792
7.6527e-05 443691 7.46244 2.09681
9.85362e-05 443931 8.36084 2.95727
9.15823e-05 475919 9.19342 3.88261
0.000100297 452852 8.76195 3.24523
9.59382e-05 487674 9.65956 4.04385
9.82166e-05 495358 9.52608 3.88
0.000110482 482116 9.69408 4.42343
0.000114135 383719 8.51257 3.76715
0.000107883 416982 8.7863 3.68187
9.74177e-05 382249 8.08095 3.00847
0.000110558 403100 8.75618 3.74419
0.000122929 395056 9.17217 3.73436
0.00011637 373166 9.03019 3.56449
0.000144921 344639 8.94008 3.76572
0.00014419 345583 8.69426 3.79849
0.000120909 376738 9.15977 3.55075
0.000143589 360656 8.93452 3.20739
0.000117443 383773 8.66712 3.14949
0.000117825 387847 9.00946 3.87848
0.000116313 374600 8.84012 3.74875
0.000110896 361747 8.01947 2.93056
0.000120728 381138 7.92095 2.17797
0.000110515 413548 8.56908 3.07845
0.000111404 427226 8.98143 2.88397
0.000106254 409856 8.81082 2.84777
0.000125194 378360 9.2313 3.97742
0.000134585 373482 9.10383 4.19193
0.000114692 367293 8.2859 2.88628
0.000128288 366828 8.69413 3.15443
0.000122088 364966 8.41294 3.643
0.000124631 386580 8.60316 3.53273
0.000126359 370670 8.62458 3.69153
0.000111189 380925 8.90223 3.83001
0.0001284 329707 8.26106 3.59871
0.000122552 354039 8.55851 4.01216
0.000122738 350574 7.89507 3.47533
0.000173854 314483 8.61026 3.77683
0.00013118 351706 8.64408 3.35509
0.000135264 337184 8.36376 3.18143
0.000128497 341076 8.23074 2.3652
