catchability[CPUEq].q preference_function[ImmatureDistance].lambda preference_function[ImmatureDepth].a50 preference_function[ImmatureDepth].ato95 preference_function[ImmatureLatitude].a50 preference_function[ImmatureLatitude].ato95 preference_function[MatureDistance].lambda preference_function[MatureDepth].mu preference_function[MatureDepth].sigma_l preference_function[MatureDepth].sigma_r preference_function[MatureLatitude].a50 preference_function[MatureLatitude].ato95 selectivity[FishingSel].a50 selectivity[FishingSel].ato95 selectivity[Maturation].a50 selectivity[Maturation].ato95 process[BHrecruitment].r0
0.0163695 0.000108457 3140.4 4928.89 69.5345 3.72937 0.00397573 4999.95 2775.63 9741.93 79.0362 26.7924 11.6877 5.68817 14.8818 11.7779 100000
0.00223026 0.00499712 1259.23 251.909 68.2651 0.134661 0.00476178 879.447 143.478 1423.38 71.3881 0.466897 6.79721 3.02926 11.6684 2.81338 1.12e+07
0.000358953 0.00597895 1545.87 262.924 68.908 0.255491 0.00495206 877.534 139.692 1379.84 71.0785 0.440759 6.86079 2.86242 12.1477 2.85491 2.23e+07
0.000386849 0.0062403 1521.8 227.381 68.1583 0.45192 0.00481286 877.287 146.738 1409.04 70.9379 0.451805 6.8118 3.23841 11.9968 3.25243 3.34e+07
0.000165784 0.00505346 1345.93 251.163 68.7747 0.31837 0.00494228 872.998 144.629 1375.83 71.0461 0.437392 6.87621 2.79672 12.4418 2.75285 4.45e+07
0.000134043 0.00431191 1318.91 209.743 68.3607 0.175772 0.00565303 847.364 75.5277 1557.33 71.2581 0.537865 6.30613 4.1836 12.6998 2.59854 5.56e+07
7.94445e-05 0.0050111 1421.2 245.876 68.86 0.328259 0.00496842 873.491 143.403 1373.31 71.0174 0.44632 6.91089 2.79295 12.1899 2.83222 6.67e+07
1.38829e-05 0.0001 4651.52 2082.12 71.9558 5.44472 0.0360184 4999.54 2932.34 6817.36 61.6267 4.21711 12.9171 6.78308 16.1028 11.7435 7.78e+07
1.37962e-05 0.000117876 4037.5 1946.15 71.1363 4.63445 0.0274388 2586.94 2.26866 10000 60.0508 6.45518 13.611 7.08396 16.4903 10.7768 8.89e+07
5.93517e-05 0.00511696 1463.72 263.681 68.8172 0.350093 0.00432514 889.215 154.238 1409.14 70.9335 0.438019 6.73548 3.57482 12.2418 2.85199 1e+08
