SPM (Spatial Population Model)
Call: ..\..\Build\windows\spm -p -q -g 0 -o profile.dat 
Date: Wed Apr 22 15:16:31 2020
v2.0.2-2020-04-21 (rev. 2020-04-21 11:34:49 UTC). Copyright (c) 2008-2020, NIWA
User name: alist
Machine name: HP1040 (Windows_NT, PID=6968)

[mature-2002]
report.type: observation
label: mature-2002
type: proportions_by_category
year: 2002
time_step: one
min_age: 1
max_age: 30
age_plus_group: true
area age observed expected residual errorvalue processerror totalerror score
r1-c6 1 0 0 0 0 0 0 -0
r1-c6 2 0 0 0 0 0 0 -0
r1-c6 3 0 0 0 0 0 0 -0
r1-c6 4 0 0 0 0 0 0 -0
r1-c6 5 0 0.0779569 -0.0779569 0 0 0 -0
r1-c6 6 0 0.0298235 -0.0298235 0 0 0 -0
r1-c6 7 0 0.0328692 -0.0328692 0 0 0 -0
r1-c6 8 0 0.0403272 -0.0403272 0 0 0 -0
r1-c6 9 0 0.0497458 -0.0497458 0 0 0 -0
r1-c6 10 0 0.0609774 -0.0609774 0 0 0 -0
r1-c6 11 0 0.0740768 -0.0740768 0 0 0 -0
r1-c6 12 1 0.089077 0.910923 0.787322 0 0.787322 1.90394
r1-c6 13 1 0.105945 0.894055 0.345614 0 0.345614 0.775846
r1-c6 14 1 0.124577 0.875423 1.13657 0 1.13657 2.36727
r1-c6 15 1 0.144811 0.855189 0.339598 0 0.339598 0.656215
r1-c6 16 1 0.166463 0.833537 1.9726 0 1.9726 3.53684
r1-c6 17 1 0.189391 0.810609 1.63108 0 1.63108 2.71403
r1-c6 18 1 0.213555 0.786445 2.61832 0 2.61832 4.04232
r1-c6 19 1 0.239069 0.760931 1.89204 0 1.89204 2.70752
r1-c6 20 1 0.266208 0.733792 0.617082 0 0.617082 0.816696
r1-c6 21 1 0.295382 0.704618 1.01619 0 1.01619 1.23923
r1-c6 22 1 0.327074 0.672926 0.506579 0 0.506579 0.566137
r1-c6 23 1 0.361747 0.638253 1.04979 0 1.04979 1.06743
r1-c6 24 1 0.399738 0.600262 1.35523 0 1.35523 1.24267
r1-c6 25 1 0.441154 0.558846 0.267354 0 0.267354 0.218792
r1-c6 26 1 0.485772 0.514228 0.313149 0 0.313149 0.226098
r1-c6 27 1 0.532996 0.467004 1.254 0 1.254 0.789067
r1-c6 28 1 0.581868 0.418132 0.363335 0 0.363335 0.19675
r1-c6 29 1 0.631154 0.368846 0.303227 0 0.303227 0.139547
r1-c6 30 1 1 0 0.312799 0 0.312799 -0
r1-c7 1 0 0 0 0 0 0 -0
r1-c7 2 0 0 0 0 0 0 -0
r1-c7 3 0 0 0 0 0 0 -0
r1-c7 4 0 0 0 0 0 0 -0
r1-c7 5 0 0.0779569 -0.0779569 0 0 0 -0
r1-c7 6 0 0.0293128 -0.0293128 0 0 0 -0
r1-c7 7 0 0.033001 -0.033001 0 0 0 -0
r1-c7 8 0 0.04054 -0.04054 0 0 0 -0
r1-c7 9 0 0.0500346 -0.0500346 0 0 0 -0
r1-c7 10 0 0.0613776 -0.0613776 0 0 0 -0
r1-c7 11 0 0.0746409 -0.0746409 0 0 0 -0
r1-c7 12 0 0.0898784 -0.0898784 0 0 0 -0
r1-c7 13 1 0.107081 0.892919 0.351374 0 0.351374 0.785029
r1-c7 14 0 0.126167 -0.126167 0.00564559 0 0.00564559 0.000761395
r1-c7 15 1 0.146991 0.853009 0.895056 0 0.895056 1.71616
r1-c7 16 1 0.16939 0.83061 0.875074 0 0.875074 1.55374
r1-c7 17 1 0.193238 0.806762 0.928122 0 0.928122 1.52568
r1-c7 18 1 0.218516 0.781484 1.53171 0 1.53171 2.32958
r1-c7 19 1 0.245357 0.754643 0.695603 0 0.695603 0.97735
r1-c7 20 1 0.27405 0.72595 0.903584 0 0.903584 1.16964
r1-c7 21 1 0.305002 0.694998 1.68663 0 1.68663 2.00276
r1-c7 22 0 0.338664 -0.338664 0.0348463 0 0.0348463 0.0144087
r1-c7 23 1 0.375436 0.624564 0.536704 0 0.536704 0.525791
r1-c7 24 1 0.41555 0.58445 0.430556 0 0.430556 0.378094
r1-c7 25 1 0.458967 0.541033 0.478921 0 0.478921 0.372973
r1-c7 26 0 0.505297 -0.505297 0 0 0 -0
r1-c7 27 0 0.553775 -0.553775 0 0 0 -0
r1-c7 28 1 0.603304 0.396696 0.333738 0 0.333738 0.168649
r1-c7 29 0 0.652577 -0.652577 0 0 0 -0
r1-c7 30 1 1 0 0.410914 0 0.410914 -0
r2-c5 1 0 0 0 0 0 0 -0
r2-c5 2 0 0 0 0 0 0 -0
r2-c5 3 0 0 0 0 0 0 -0
r2-c5 4 0 0 0 0 0 0 -0
r2-c5 5 0 0.0779569 -0.0779569 0 0 0 -0
r2-c5 6 0 0.0309361 -0.0309361 0 0 0 -0
r2-c5 7 0 0.0340976 -0.0340976 0.282033 0 0.282033 0.00978442
r2-c5 8 0 0.0418299 -0.0418299 0.0434209 0 0.0434209 0.00185537
r2-c5 9 0 0.0516468 -0.0516468 0 0 0 -0
r2-c5 10 0 0.0633899 -0.0633899 0.0205135 0 0.0205135 0.00134339
r2-c5 11 0 0.0771373 -0.0771373 0.735534 0 0.735534 0.0590449
r2-c5 12 0 0.0929552 -0.0929552 0.0127131 0 0.0127131 0.00124033
r2-c5 13 0.396047 0.11085 0.285197 0.153285 0 0.153285 0.136088
r2-c5 14 0.224478 0.13076 0.0937178 0.155342 0 0.155342 0.081609
r2-c5 15 1 0.152565 0.847435 0.635924 0 0.635924 1.19564
r2-c5 16 1 0.176124 0.823876 1.24007 0 1.24007 2.15347
r2-c5 17 1 0.201332 0.798668 1.23732 0 1.23732 1.98317
r2-c5 18 0.71375 0.228188 0.485562 0.17305 0 0.17305 0.186387
r2-c5 19 0.776624 0.256834 0.51979 0.232011 0 0.232011 0.247144
r2-c5 20 1 0.287552 0.712448 0.506579 0 0.506579 0.631376
r2-c5 21 1 0.320723 0.679277 0.699097 0 0.699097 0.794998
r2-c5 22 1 0.35674 0.64326 0.559419 0 0.559419 0.57662
r2-c5 23 0.485917 0.3959 0.090017 0.194625 0 0.194625 0.124414
r2-c5 24 1 0.438294 0.561706 0.961169 0 0.961169 0.792835
r2-c5 25 1 0.483703 0.516297 0.783147 0 0.783147 0.568787
r2-c5 26 1 0.531546 0.468454 0.329537 0 0.329537 0.208256
r2-c5 27 0.773831 0.580887 0.192943 0.287154 0 0.287154 0.157481
r2-c5 28 0 0.630517 -0.630517 0.0142878 0 0.0142878 0.0142256
r2-c5 29 1 0.679098 0.320902 0.484269 0 0.484269 0.187407
r2-c5 30 1 1 0 0.257411 0 0.257411 -0
r2-c6 1 0 0 0 0 0 0 -0
r2-c6 2 0 0 0 0 0 0 -0
r2-c6 3 0 0 0 0 0 0 -0
r2-c6 4 0 0 0 0 0 0 -0
r2-c6 5 0 0.0779569 -0.0779569 0 0 0 -0
r2-c6 6 0 0.0452856 -0.0452856 0 0 0 -0
r2-c6 7 0 0.0465722 -0.0465722 0.00333314 0 0.00333314 0.000158963
r2-c6 8 0 0.0564589 -0.0564589 0.432825 0 0.432825 0.0251538
r2-c6 9 0 0.0698396 -0.0698396 1.24284 0 1.24284 0.0899793
r2-c6 10 0 0.0861767 -0.0861767 0.363773 0 0.363773 0.0327826
r2-c6 11 0.0344476 0.105626 -0.0711784 0.16864 0 0.16864 0.0298463
r2-c6 12 0.594731 0.128442 0.466289 0.653605 0 0.653605 0.718413
r2-c6 13 0.629751 0.15485 0.474901 0.436933 0 0.436933 0.484655
r2-c6 14 0.802547 0.184988 0.617559 1.06932 0 1.06932 1.31872
r2-c6 15 0.749249 0.218865 0.530383 0.375158 0 0.375158 0.415954
r2-c6 16 0.859811 0.25636 0.603451 0.79191 0 0.79191 0.87896
r2-c6 17 0.879404 0.297251 0.582153 0.785481 0 0.785481 0.801249
r2-c6 18 0.911397 0.341272 0.570126 0.987167 0 0.987167 0.925594
r2-c6 19 0.978703 0.388115 0.590587 0.255735 0 0.255735 0.237661
r2-c6 20 0.938333 0.437394 0.50094 0.315498 0 0.315498 0.248237
r2-c6 21 0.715363 0.488561 0.226802 0.482785 0 0.482785 0.281354
r2-c6 22 1 0.540857 0.459143 1.69542 0 1.69542 1.04201
r2-c6 23 0.955894 0.593299 0.362594 0.335988 0 0.335988 0.17466
r2-c6 24 0.970814 0.644748 0.326065 0.24444 0 0.24444 0.109161
r2-c6 25 0.933224 0.694028 0.239197 0.330748 0 0.330748 0.12979
r2-c6 26 1 0.740067 0.259933 0.00332352 0 0.00332352 0.00100043
r2-c6 27 0.934433 0.782027 0.152406 0.245391 0 0.245391 0.0757177
r2-c6 28 1 0.819379 0.180621 1.22096 0 1.22096 0.243227
r2-c6 29 0.906131 0.851914 0.0542171 0.156413 0 0.156413 0.0476798
r2-c6 30 0.358744 1 -0.641256 0.169442 0 0.169442 2.81772
r3-c5 1 0 0 0 0 0 0 -0
r3-c5 2 0 0 0 0 0 0 -0
r3-c5 3 0 0 0 0 0 0 -0
